name,image_url
2 pac,
50 cent,http://live.drjays.com/wp-content/uploads/2009/09/50cent_1.jpg
andre 300,http://d3na4zxidw1hr4.cloudfront.net/site_media/uploads/images/post/a/andre-3000/Andre3000_jpg_630x394_q85.jpg
b.i.g,http://edge-img.datpiff.com/m5a56299/Biggie_Smalls_March_9th-front-large.jpg
asap rocky,http://fc06.deviantart.net/fs71/f/2013/018/3/0/asap_rocky_by_doritez-d5ruqf0.jpg
big sean,http://hypetrak.com/images/2011/10/big-sean.jpg
childish gambino,http://www.bet.com/content/betcom/topics/c/childish-gambino/_jcr_content/image.custom1200x675x20.dimg/113011-music-Childish-Gambino.png
didy,http://www.weddingpartyapp.com/blog/wp-content/uploads/2013/01/p-diddy-e1357520805681.jpeg
dmx ,http://beatcrave.com/wp-content/uploads/2010/03/DMX.jpg
dr dre,0
drake,
eazy e,
eminem,
erykah badu,
fabolous,
jay z,
j cole,
kanye west,
kendrick lamar,
lauryn hill,
lil kim,
lil wayne,
ludacris,
lupe fiasco,
mgk,
mac miller,
missy elliot,
nas,
nicki minaj,
pharrell williams,
rick ross,
snoop dogg,
t.i,
tyga,
tyler the creator,
wale,
wiz khalifa,
